Studiedeel;Omschr.
001210;Biochemistry (S. BEECKMANS)
001211;Biochemistry (S. BEECKMANS)
005041;Geïntegr practicum biochemie
006787;Biocomplexity & Systems Ecolog
003006;Biocontr Plant Dis & Bio-fert
004143;Biodiv & Ecol v invertebraten
008212;Biodiv & Ecosys Loreto Region
004138;Biodiv & ecol vertebraten
004139;Biodiv & ecol vertebraten
004142;Biodiv & ecol invertebraten
006560;Biodiv of Aquatic Food Webs
004137;Biodiv & ecol pl  fungi & prot
008220;Biodiversity Conservation
008250;Biodiversity Informatics
008202;Biodiversity and Conservation
002342;Bio-ethiek
004995;Bio-ethiek
006774;Biogeochemical Cycles
001951;Biogeochemie
001952;Biogeochemistry
001180;Biogeografie
001181;Biogeografie
008245;Biogéographie
006712;Bioinformatic Tools
003546;Bioinformatics
004129;Bioinformatica
004130;Bioinformatica
005205;Bioinformatics
008647;Bioinformatica & systeembiolog
007585;Bioinformatics and Omics
008268;Biological Invasions
007262;Biol Prod Syst in the Tropics
001074;Biologie
001074;Biologie
001075;Biologie
001076;Biologie
001625;Biologie
002337;Biology
006319;Algemene biologie
006320;Algemene biologie
001128;Biology Dissertation
004140;Biologie  maatsch & ethiek
004141;Biologie, maatsch & ethiek
004964;Biology of Animal Societies
001123;Biology of the cell
003058;Biomedische ingenieurstechniek
004888;Biomed Ingenieurstechnieken
004100;Biomedics I
004105;Biometrie
004106;Biometrie
004883;Biomol ontw & mol modelling
003927;Biofysische scheikunde
004700;Biophysical Methods
006118;Biofysische methoden
004676;Biophysics
004985;Bioveiligheid
000646;Biostatistics
004706;Biostatistics
007586;Biostatistics
003653;Biotechnologie
003654;Biotechnologie
003655;Biotechnologie
005687;Biotechnology
002781;Brouwerij
002893;Build-up of animals
003050;Intell Prop Rights
003051;Bedrijfsk & Intell Prop Rights
003052;Bedrijfsk & Intell Prop Rights
000129;Berekenbaarheid
006356;Calculus I
006356;Calculus I
006357;Calculus II
006105;Cap sel mol celbiologie
005049;Cap sel Softw Engineering
006693;Cap Sel Solid-state Physics
004906;Cap sel in de deeltjesfysica
006671;Cap Sel in Particle Physics
006213;Cap Sel vd organische chemie
001910;Cap sel from computer science
005197;Capita Selecta in de Topologie
006101;Capita selecta in de biochemie
006103;Capita selecta in de biofysica
006102;Capita selecta in de genetica
006104;Cap sel microbiologie
002353;Capita selecta + codetheorie
003164;Capita selecta in algebra
003165;Capita selecta in algebra
003166;Capita selecta in topology
003167;Capita selecta in topology
000546;Cartografie
000547;Cartografie
000548;Cartografie
008333;Casestudy  'Meesters': Stednbw
003535;Katalyse
003043;Catalysis and Adsorption
008240;Catchment Processes & Manageme
005241;Categorische topologie
005192;Categorietheorie
001114;Cell biology II - immunology
004681;Cellular Biology & Immunology
007578;Cellular Biology & Immunology
004895;Cellulaire biotechnologie
001136;Cellulaire Engineering
003525;Cellular Immunology
004698;Cellular Immunology
006116;Cellulaire immunologie
001135;Cellulaire microbiologie
002903;Cellular Microbiology
003551;Cellular engineering of plants
002895;Cellular recognition
007765;Chem & Industr: cap sel
005130;Chem toepass v groepentheorie
005076;Chem interacties in&mt milieu
001953;Chem interact env inorgan asp
001954;Chem interact env organic asp
006434;Chemie: bouw mat&chem react I
006435;Chemie: bouw mat&chem react I
006436;Chemie: bouw mat&chem react II
000622;Chemie: bouw mat & chem react
000623;Chemie: bouw mat & chem react
003561;Chemical & Biological Monitor
001955;Chemische functionaliteit
005080;Chemische procesontwikkeling
006706;Chemical Process Technology
005081;Chemische procestechnologie
002396;Chemical kinetics I
002951;Chemical kinetics II
007296;Chem modif v hernieuwb grondst
000063;Chemie
000064;Chemie LK
000065;Chemie
003991;Chemie
003992;Chemistry
001066;Aanvullingen van chemie
001067;Aanvullingen van chemie
001065;Practicum chemie
001537;Vakdid miv transfoef scheik
002943;Chemie en samenleving
006606;Chemistry of Nanostructures
001118;Vaste stof chemie
006361;Aanvullingen van chemie
006513;Chemometrie
001162;Clay mineralogy
007295;Clean Technology
005168;Cliff alg&meerdim functheor
008264;Climate Change Biology
008192;Climate et Biotope
002361;Climatology and Climat Change
002360;Climatology and Climate Change
001172;Klimatologie en oceanografie
008262;Coastal Morpho & Shore Protect
008239;Coastal Processes & Management
005181;Code Theory
003159;Codetheorie
003160;Codetheorie
003161;Codetheorie
001108;Collo?dchemie
005036;Colloïdale syst & vloeib krist
005397;Combinat Biochem & Drug Design
005398;Combinat Chem & Drug Design
003400;Commun- & compvaardigh chemie
002763;Commvaardigh vr informatici
004148;Vergelijkende ontleedkunde
005295;Comp.ness & econ chge urb Eur
001912;Compilers
001913;Compilers
001913;Compilers
001914;Compilers
000518;Aanv oppervlaktewaterhydrol
001072;Aanvullingen analytische meetk
002287;Complexe analyse
001090;Complexe analyse A
001091;Complexe analyse A
001089;Complexe analyse A
008244;Comportement Animal
005059;Berekenbaarh & informtheorie
006219;Computational Atomic Structure
006575;Computational Chemistry
005057;Adaptive Systems Seminar
005061;Computational Game Theory
005061;Computational Game Theory
005763;Computational Geometry
006714;Computational Geometry
007267;Computational Geometry
005180;Computational Mathematics
006509;Computationele fysica
004912;Computervaardigheden
000419;Computer Graphics
000420;Computer Graphics
000502;Computersystemen
004207;Comp.vaardigh & programmeren
000512;Comptechn vr num analyse
003901;Computer techn for physicists
007152;Conc & Integr Taxy Herpetology
001854;Conc High-lev Progr Lang
005387;Natuurbehoud en beheer
005388;Conserv & Man of Nat & Envir
006563;Conserv Gen of Aquatic Popul
002799;Conserv genetics & management
003554;Conservation Genetics
006204;Contemp Probl Urban Developm
006684;Continuum Mechanics
008238;Coral Reefs - Tropic Mar Eco
006699;Kosmologie en galaxievorming
005115;Lessen voor de 21ste eeuw
005108;Cultural Urban Geography
004475;Culture, Conflict and the City
007261;Culture Ecology & Development
008346;Culturele stadsgeografie
007163;Current Topics in Celbiologie
005047;Current Trends in Databases
006109;DNA-proteïne interacties
004691;DNA-protein Interactions
002779;Zuiveltechnologie
002780;Zuiveltechnologie
006540;Data & Information Management
003029;Data Analysis & Num Methods
008200;Data Analysis Environm Model
004978;Data management
005275;Data-man marine environment
007341;Database Systems Architecture
006347;Databases
006348;Databases
006140;Decision Engineering
006141;Decision Engineering
005257;Declaratief programmeren
005257;Declaratief programmeren
006153;Declarative Programming
005127;Demography & population geogr
006202;Demography of European Cities
005078;Density Functional Theory
005079;Density Functional Theory
002762;Des meth Internet-based syst
003620;Des meth Internet-based syst
004109;Ontw.biologie en Neurobiologie
004110;Ontw.biologie en Neurobiologie
004111;Ontw.biologie en Neurobiologie
004112;Ontw.biologie en Neurobiologie
007257;Development Cooperation
004686;Developmental Biology
004980;Developmental Biology
004981;Developmental Biology
006493;Developmental Biology
007584;Developmental Biology
000372;Developmental genetics
001083;Diff & Integral Calculus II
001084;Diff & Integral Calculus II
003395;Diff & Integral Calculus III
003396;Diff & Integral Calculus III
005157;Differentiaalvgln & operatoren
003981;Diffvgln & Dynamische syst
001622;Differentiaalmeetkunde I
005156;Differentiaal meetkunde
006299;Differentiaal meetkunde
001620;Differentiaalmeetkunde I
001621;Differentiaalmeetkunde I
002348;Differentiaalmeetkunde II
002349;Differentiaalmeetkunde II
006690;Differentiaalmeetkunde II
006311;Géométrie différentielle
002612;Discrete wiskunde
002613;Discrete wiskunde
002613;Discrete wiskunde
002614;Discrete wiskunde
003392;Discrete Mathematics
003393;Discrete Mathematics
004593;Discrete structuren
004593;Discrete structuren
001205;Dissertation
001270;Dissertation
002115;Dissertation
007010;Distrib & Mobile Progr Paradig
002838;Distributed Obj-Or Systems
000507;Gedistribueerde systemen
000508;Gedistribueerde systemen
007067;Distributed Systems
005298;Div & id: immigr integr..
008247;Diversité & Histoire Lignées
001215;Downstream Processing
008199;Droit Patr. Nat. In/Ex Situ
007772;Drug Discovery and Design 1
007773;Drug Discovery and Design 2
007774;Drug Discovery and Design 3
007263;Dutch Language and Cultures
007263;Dutch Language and Cultures
008504;Duurzame Ontwikkelingen
005346;Dynamische processen
006142;Processus dynamiques
006143;Processus dynamiques
007347;Dynamic Processes
005114;Dynam & modelling glacial syst
008243;Dynamics Artifact-Org Systems
006495;Dynamics it Leisure Industry
004963;Dynamics of Biological Systems
006698;Dynamica van galaxieën
001958;EIA
001195;EIA: critics on EIA statements
006133;EMOOSE Capita Selecta
006135;EMOOSE Master Thesis
006134;EMOOSE Specialisation Training
004528;Earth Observation Techniques
004528;Earth Observation Techniques
008178;Earth System & Interactions
004994;Ecol & evol trends Tree f Life
007153;Ecol Physiol Amphibians & Rept
006538;Ecological & Evolution Physiol
005384;Ecology
005385;Ecologie
008207;Ecology
003876;Ecologie en terreinwerk
003877;Ecologie en terreinwerk
006546;Ecology of Coastal Seas
008505;Econ Aspn v/d Ruimtelijke plan
001170;Economische geografie
001171;Economische geografie
005392;Economie
005280;Ecosysteembeheer
005281;Ecosysteembeheer
002376;Ecosystem Modelling
002377;Ecosystem Modelling
002889;Ecotoxicology
006567;Ecotoxicology & Risk Assessm
004919;Educational Thinking
001496;Electrochemistry: Fund & Appl
004134;Elektrodynamica & spec relat
003897;Elektromagnet  glvn & trill
003898;Elektromagnet  glvn & trill
004196;Elektronisch meten en regelen
004161;Elektronica
004901;Elektrozwakke en sterke kracht
002949;Elektrochem: Fundament & Appl
002950;Elektrochem:Fundam & Appl
006672;Elements History of Natural Sc
000405;Elementaire deeltjes
002488;Elementary particle physics II
006221;Energiebeh  veiligh & transp
005590;Engels in de bedrijfsomgeving
005590;Engels in de bedrijfsomgeving
008259;Enjeux Patr, Econ & Scient
003069;Insektenkunde
008284;Entrepr.ship & New Bus Develop
005117;Initiatie tot ondernemen
005118;Initiatie tot ondernemen
005118;Initiatie tot ondernemen
001143;Omgevings- en stressfysiologie
005390;Omgevkenm & -kwal toerisme
004232;Env Chem: Measuring & Modell
004231;Environm Chem: measur & model
005278;Env Monit & Biom Anthr Stress
004569;Milieuchemie en Technologie I
002800;Env microbiol & bioremediation
007353;Environm Imp Assessm Project
005282;Environment Economics
006592;Environmental Analysis
007166;Environmental Change
002946;Milieuchemie
002947;Milieuchemie
002948;Milieuchemie
006366;Milieuchemie
002119;Milieuchemie I
002124;Milieuchemie II
002125;Milieuchemie II
002806;Environmental Economics
005283;Environmental Education
003668;Milieutechnologie
002808;Environmental Health Problems
002810;Environmental Impact Assesment
001189;Milieu-effectenrapportering
001190;Environmental Impact Assessm
005119;Milieu-effectenrapportering
005120;Milieu-effectenrapportering
006564;Environmental Impact Assessm
002807;Environmental Law
002952;Milieurecht
001149;Environmental Microbiology
006528;Environmental Modelling
006551;Environmental Monitoring
002380;Environmental Risk Management
002381;Environmental Risk Management
002796;Environmental genetics
003556;Environmental toxicology
000371;Enzyme Kinetics
004893;Enzymkinetiek & enzymmechanism
001147;Enzymmechanismen
007273;Enzymology and Fast Kinetics
002698;Epidemiol: study des & analys
001642;Ess CellGen & Mol Mech Mutagen
001641;Ess on Genetics & Genetic Eng
001645;Ess plant Mol biol & physiol
001643;Essay Fundam & Appl Immunol
001640;Essay General & Appl Microbiol
001639;Essay Metabol Regul & Lectins
001638;Essay Purif&Struct An Macromol
004977;Essay in Plant Science
004998;Scriptie over bio-ethiek
001644;Essay on Molecular Biology
002655;Essay on Parasitology
002765;Establishment of the Body Plan
006525;Estuarine and Coastal Systems
008228;Ethnopharm/Ethnobotan Valorisa
004990;Eur en Vl milieuwetgeving
004466;European Urban Studies
004467;European Urban Studies
001722;Evaluation Computer Perform.
002448;Evaluation of computer perform
006559;Evol & Biogeogr f Aquatic Org
001077;Evolutie
006318;Evolutie
004151;Evolution of Man
007610;Evolution of speech
005288;Evolutie van de geobiosfeer
007162;Evolutionary & Ecol Physiology
001129;Evolutionary Ecology
007962;Excursie 1
007965;Excursie 2
000402;Experiment stral- & kwantfys
006406;Exp studie micro-& macrokosmos
006669;Exp Techn Particle Physics
000401;Proefond asp stral- & kwantfys
006217;Blootst contamin bioaccumul
006218;Exp Contam via F&Env:healrisk
006329;Experimentele fysica
004915;Experiment techn deeltjesfys
002383;Exploitation & Man Coast Zone
005276;Expl & man coastal resources
008251;Explora & Descript Biodiversit
008183;Expériment. & Analyse Données
004908;Extensions of the Stand Model
006237;Externe mobiliteit A
006238;Externe mobiliteit A
006239;Externe mobiliteit B
006240;Externe mobiliteit B
007743;Extragalactic Astronomy
004689;Fast Kinetics
006590;Field Sampling and Analysis
006377;Excursie geografie
007148;Field Trip Herpetology
002372;Field Work
006417;Terreinwerk I
006418;Terreinwerk II
002891;Excursie ecologie
001159;Field work
002892;Excursie ecologie
006529;Fieldwork & Lab Practices
001167;Terreinwerk I
001168;Terreinwerk I
001173;Terreinwerk II
001174;Terreinwerk II
001182;Terreinwerk III
001183;Fieldwork III
001192;Fieldwork IV
002536;Financiële wiskunde I
002537;Financi?le wiskunde I
002538;Financiële wiskunde I
005144;Financiële Wiskunde II
005145;Financiële Wiskunde II
005177;Financieel risicomanagement
005162;Eindige diffmeth & fin wisk
008248;Floristique Tropicale FLORATRO
005107;Fluviatiele geomorfologie
006255;Riviergeomorfologie
001152;Fluviatiele & aride geosyst
004624;Levensmiddelenchemie
004625;Levensmiddelenchemie
006489;Levensmiddelenchemie
007775;Levensmiddelenchemie
004670;Levensm.microbiol & -ecologie
003044;Levensm.microbiol & hygiëne
003045;Levensm.microbiol & hygi?ne
001890;Levensmiddelentechnologie
001891;Levensmiddelentechnologie
006521;Forecasting Techniques
008223;Forest Ecology & Silviculture
008225;Forest Managem & Certification
007114;Forestry and Agroforestry
008255;Form Conn Syst & Paleobio
007710;Formal Verif Comp Syst
002764;Formal meth in softw engin
000090;Grondslagen vd informatica I
000091;Grondslagen vd informatica I
000092;Grondslagen vd informatica I
000092;Grondslagen vd informatica I
002615;Grondslagen vd informatica II
002616;Grondslagen vd informatica II
002616;Grondslagen vd informatica II
006131;Foundations Software Systems
001133;From DNA to Diversity
006369;Funct biol plant  fungi & prot
006370;Funct biol plant  fungi & prot
007614;Funct biol plant, fungi & prot
003065;Funct biol pl  fungi & prot
005158;Functionaalanalyse
003913;Functionaal analyse I
003914;Functionaal analyse I
000682;Functionele plantkunde
002897;Functional Genomics & Proteom
004976;Functional Plant Science
005050;Functional Programming
005050;Functional Programming
002645;Functional anatomy
003030;Functionele dierenfysiologie
003031;Functionele dierenfysiologie
007150;Functl Ecol Amphibians & Rept
005586;Fundamentals of Geodesy
001085;Wiskundige methodenleer
005165;Grondslagen van de wiskunde
005402;Basisbegr moleculaire farmacol
005565;Fundamentals of Photogrammetry
000633;Fytopathology
002789;GIS and spatial analysis
008218;GIS, Remote Sensing& Landscape
007742;Galactic Astronomy
003976;Galois theorie
005031;Gen & Analytical Biochem
006437;Alg & Mol Gen incl sem bio-eth
000619;Gen & experimental physics
000620;Alg & proefond natuurkunde
000621;Gen & experimental physics
003399;Gen Phys: Phys Chem-Thermodyn
007737;Veralgem regressiemodellen
005134;Alg theorie empir processen
004117;Genet anal & gentechnologie
004695;Gene Expression Analysis
006113;Analyse van genexpressie
003923;Gentechnologie
001885;Gentechnologie en genregulatie
001886;Gentechnologie en genregulatie
005030;General & Protein Chemistry
006302;Algemene chemie
001957;Algemene mariene chemie
002935;General Relativity
006511;Algemene relativiteitstheorie
006362;Algemene dierkunde
006363;Algemene dierkunde
000624;Alg & moleculaire genetica
000625;Alg & moleculaire genetica
000626;Alg & moleculaire genetica
004099;General detection techniques
001113;General industrial chemistry
002432;Algemene natuurkunde
002433;Algemene natuurkunde
002434;Algemene natuurkunde
005135;Veralgem lineaire modellen
000648;Genetic engineering
000352;Genetica
000353;Genetica
000354;Genetica
004675;Genetics
004126;Genetics of Eurkariotics
003048;Genom  prot & Bio-informatics
003049;Gen  prot & Bio-informatics
004127;Proteomics en genomics
004128;Gen  proteomics & bioinform
001146;Genotoxicology & Public Health
005587;Geo-Appl Developm Seminar
005289;Geo-appl Developm Sem
003605;Geo-informatiekunde
003606;Geo-informatiekunde
001154;Geochemie
005585;Geochemie I
002563;Geodesy
006507;Geogr Research Methods I
006506;Geogr Research Methods II
007164;Geogr Research Methods II
007165;Geogr Research Methods III
001175;Geogr developm & geogr tourism
002126;Geogr inf syst & implement GIS
005294;Geogr of Developing Countries
008279;Geografie in Praktijk : Stage
008230;Geograph Information Systems
002375;Geographical Information Syst
005106;Geographical Research Methods
005100;Geography of Globalisation
001193;Geografie van de gezondheid
001068;Geologie
001069;Geologie
001073;Geologie
005393;Geologie
006321;Geologie
003552;Geologie en bodemkunde
001150;Geologie van België
001151;Geologie van België
004155;Geologie van Belgi? en Europa
004156;Geologie van België en Europa
000614;Geologie van kustvlaktes
007174;Geology of Coastal Plains
001893;Meetkunde en lineaire algebra
001894;Meetkunde en lineaire algebra
001163;Geomorfologische processen
001164;Geomorfologische processen
001153;Geofysica
007821;Geschiedenis stedenbouw
006753;Geschiedenis van de chemie
001160;Glaciale & periglac geosyst
007112;Globalization & Dev: Disc
006568;Glob Chge & Coastl Haz Mitig
007175;Global Biogeochemical Cycles
003955;Global Change
005284;Global Change
006799;Global Change
007265;Global Environmental Politics
004354;Globale geomorfologie
004355;Globale geomorfologie
003956;Global change
006556;Gov & Policy in Dev & Coop  II
005299;Gov  cit & part chang urb cont
006541;Gov & Policy Developm & Coop I
007013;Graduate Statistics
005248;Graduate statistics I
005249;Graduate statistics II
008127;Grafische Vaardigheden - CAD
000537;Graphic Systems
000538;Graphic Systems
004900;Zwaartekracht
002690;Grond stud groepsverz II
005244;Group Insurances I
005245;Group Insurances II
001900;Group and Galois Theory
002766;Groei en ontwikkeling vd mens
005469;Begeleide oefenstage we & irwe
005469;Begeleide oefenstage we & irwe
005470;Zelfst oefenstage we & irwe
005470;Zelfst oefenstage we & irwe
006775;Guided Self-Study
004988;Begeleide zelfstudie
008185;Génétique des Populations
008555;Hed. Stedenbouwk. en Plan. Str
004983;Herpetology
003536;Heterogeneous Catalysis
006136;Heuristic Optimisation
006137;Heuristic Optimisation
003060;High Throughput Technieken
003061;High Throughput Technieken
003062;High Throughput Techniques
007588;High Throughput Techniques
005105;History & Epistemol of Geogr
005391;Histor geogr & cartografie
006515;Hist geogr: landsch  erfg & id
007167;Geschied & epistemol vd geogr
002953;Geschiedenis van de scheikunde
001902;Geschiedenis van de wiskunde
001903;Geschiedenis van de wiskunde
002932;Geschiedenis natuurkunde + exc
002933;Geschiedenis natuurkunde + exc
006603;Homogen Catalysis:Rec Developm
005198;Homolog alg & afgel categor
005138;Hopf algebra's & quantumgr
000367;Hormones and Receptors
005296;Housg  plang & urb built env
002699;Human Genetics and Diseases
002697;Human Infectious Diseases
002888;Human genetics
004122;Epidemiologie
004123;Mensel gen & epidemiologie
004971;Hydrobiology
005394;Hydrogeologie
002804;Idem
000370;Immunochemie
004144;Immunol & mol celbiologie
003028;Immunol & mol celbiologie
002105;Immunology
002106;Immunology
006372;Immunologie
000562;Implementation of GIS
006527;In-situ & Rem Sens Tools Aq Sc
005199;Incidentiemeetkunde
007741;Ind Bio-organ Chemie
003053;Ind biotechn incl Int Eig.re…
003054;Ind biotechn incl Int Eig.re…
001731;Ind appl of Artificial Intell
001908;Individuele studie
001909;Individuele studie
003931;Industriële voedingsbiotechnol
003932;Industriële voedingsbiotechnol
001216;Industriële stage
001225;Industriële microbiologie
003930;Industri?le voedingsbiotechnol
002362;Inform Retr  Man and Presentat
001226;Informatics dissertation
002086;Information systems
002087;Information Systems
002087;Information Systems
005417;Information Systems
007723;Information Systems
007723;Information Systems
008866;Information Visualization
008197;Initiation Milieux Tropicaux
008252;Initiation Techn Avancées Coll
008106;Inl t/h Ruimtelijk Ontw
008111;Inl tot Ruimt Anal
007968;Inl. tt h. Stedenbouwk. Onderz
002338;Innovatie ih informatica-ow
002794;Inorgan & micro-organ poll em
002336;Anorganische chemie
003997;Instrumentele analyt chemie
006550;Int Coast Zone Man: Mangr
006552;Int Ecosyst Man & Ecol Eng
007201;Geïnt pra struct & fctie eiwit
006566;Int Pra Conserv & Man
004992;Geïnt pra milieu & volksgez
004979;Geïnt pract Nat.beh & mil.bel
004982;Int Pract Gen  Cell & Dev Biol
003925;Geïntpra microbiol & gentechn
003926;Geïntpra microbiol & gentechn
002370;Integr Coastal Zone Management
007745;Integr Field Course Sea
004891;Geïntegr pra biomol technol
003524;Geïntegr pra ind biotechnol
007746;Integr Limnol Field Course
007744;Integr Marine Coastal Ecol
004972;Integr Pra Aquatic ecosystems
004987;Geïnt pra biol  bedr & maatsch
005001;Int Pra Cellular & med biol
004965;Integr Practica on Ecosystems
004975;Int Pra Integrat Plant Science
004966;Integr Practica on Ecosystems
003057;Geïntegr pra med biotechnol
